[20:23:16] NLLB: 611 blocks on cuda -> translations/caption_2026-09-10_09-26-10.nllb.srt
[20:23:17]   16/611 (0.08s/blk)
[20:23:18]   32/611 (0.06s/blk)
[20:23:19]   48/611 (0.06s/blk)
[20:23:34]   64/611 (0.28s/blk)
[20:23:35]   80/611 (0.23s/blk)
[20:23:35]   96/611 (0.20s/blk)
[20:23:37]   112/611 (0.18s/blk)
[20:23:38]   128/611 (0.17s/blk)
[20:23:39]   144/611 (0.16s/blk)
[20:23:40]   160/611 (0.15s/blk)
[20:23:41]   176/611 (0.14s/blk)
[20:23:42]   192/611 (0.13s/blk)
[20:23:42]   208/611 (0.13s/blk)
[20:23:43]   224/611 (0.12s/blk)
[20:23:44]   240/611 (0.12s/blk)
[20:23:46]   256/611 (0.12s/blk)
[20:23:47]   272/611 (0.11s/blk)
[20:23:48]   288/611 (0.11s/blk)
[20:23:48]   304/611 (0.11s/blk)
[20:23:52]   320/611 (0.11s/blk)
[20:23:54]   336/611 (0.11s/blk)
[20:23:54]   352/611 (0.11s/blk)
[20:23:55]   368/611 (0.11s/blk)
[20:23:56]   384/611 (0.11s/blk)
[20:23:57]   400/611 (0.10s/blk)
[20:24:01]   416/611 (0.11s/blk)
[20:24:02]   432/611 (0.11s/blk)
[20:24:03]   448/611 (0.11s/blk)
[20:24:04]   464/611 (0.10s/blk)
[20:24:05]   480/611 (0.10s/blk)
[20:24:06]   496/611 (0.10s/blk)
[20:24:07]   512/611 (0.10s/blk)
[20:24:08]   528/611 (0.10s/blk)
[20:24:08]   544/611 (0.10s/blk)
[20:24:09]   560/611 (0.10s/blk)
[20:24:10]   576/611 (0.09s/blk)
[20:24:11]   592/611 (0.09s/blk)
[20:24:12]   608/611 (0.09s/blk)
[20:24:12]   611/611 (0.09s/blk)
[20:24:12] NLLB: DONE in 0.9min
